Comment ID,Comment Text,Comment Score,Comment Depth,Created Timestamp,Author,Edited,Semantic Label,Semantic Label 2,Semantic Label 3,Major_Semantic
gowieu2,"I feel like saas bahu stuff is always about insecurity brought upon by competition of perceived limited resources - the sons attention, love and financial security. If the saas did not depend only on her son for financial and old age security a lot of animosity would be prevented. That is just my observation of a lot of mothers of sons. There isn’t anything special why mothers of daughters aren’t as territorial over their daughters it’s just that sons are upheld to a totally different value in our society.",656,0,1614379782.0,nanon_2,False,negative,negative,negative,negative
goxopom,"As my father says we are not your safe deposit you are not our retirement pension 

Do stuff on your own like we did 

And I appreciate this talk",208,0,1614396643.0,Jyaten,False,neutral,positive,positive,positive
goy7eho,My mother had 2 arranged marriages and the first person ran away with a girl 2 months after I was born and the second assaulted her and she still forces me to get arranged married.,56,0,1614403321.0,bigmonke2409,False,negative,negative,negative,negative
gowdeyb,"This is actually a really grave matter. TV serials convince the 'saas' of 'bahu' being their enemy. My mother suffered a lot cuz my grandmother was an avid watcher of these shit shows and I wish things would've been like how they were supposed to be instead of how they went, But the past is the past.",338,0,1614378202.0,,1614379898.0,negative,negative,negative,negative
gox9h69,Mum: it's over son! I have the high ground!,44,0,1614389983.0,,1614405435.0,positive,neutral,neutral,neutral
goy6n00,"Arranged marriages are whatever, if BOTH parties agree and are NOT forced to agree. But 99% are FORCED. Why do parents and elders still have control over their children when they become self sufficient?",39,0,1614403043.0,,False,negative,negative,neutral,negative
goyizt9,"From my limited experience of interacting with elder people, I can say that they're not aligned with current generation. They expect that the ""bahu"" will take care of them while their son is working. Essentially a servant sorts of. I might be very wrong here, but most of them say this "" abh tere maa baap ka khayal kon rakhega"".",39,0,1614411344.0,akhil1996,False,negative,negative,neutral,negative
gowi6z2,THIS IS THE WAY!!,62,0,1614379716.0,PhoenixonFire007,False,positive,positive,positive,positive
gowkai9,I don't like where this is going.,27,0,1614380357.0,,False,negative,negative,negative,negative
goxdx3e,People should learn to differentiate between arranged marriages and forced marriages before they start making assumptions.,185,0,1614392524.0,otomospeed,False,negative,negative,neutral,negative
gowap9v,लुल,83,0,1614377352.0,,False,neutral,neutral,neutral,neutral
goxa0m4,"The funny thing I see is when Indians come to the US, their kids have a hard time finding a girlfriend in the states. So they eventually give up when they hit 25 and let their parents hook them up with a friend's daughter from India. Personally, I disagree with these kind of marriages. Kind of pathetic if you ask me.",139,0,1614390289.0,SomeOne9oNe6,False,negative,negative,negative,negative
gp0xk6x,"Came into a love marriage with a wonderful Indian man in the US. His whole family accepted me: I think they were just happy that he married a woman he really cared for. He & I went through some bits of culture shock, as we expected; I am a white American. We got through it all just fine, with no family interference. My in-laws were two of the best people I’ve ever been lucky enough to have in my life. I loved them as long as they lived, & miss them as much as I do my own parents.",14,0,1614441438.0,Hot_Supermarket7933,False,positive,positive,positive,positive
