Comment ID,Comment Text,Comment Score,Comment Depth,Created Timestamp,Author,Edited,Semantic Label,Semantic Label 2,Semantic Label 3,Major_Semantic
ipk1id9,"Me at 10 year old, aiming to be like this guy and imagining the power to lift things.

Me at 25, no where fucking close to this guy.",729,0,1663903031.0,DarrKeAageJeetHai,False,negative,neutral,negative,negative
ipk35x7,Virat compressive strength..,292,0,1663903957.0,mayflyman20,False,neutral,positive,positive,positive
ipk5cqk,The  TERACHAD,237,0,1663905273.0,Beastman136,False,neutral,neutral,neutral,neutral
ipk5mu1,Tootegi Kaise,64,0,1663905452.0,aman2218,False,neutral,neutral,neutral,neutral
ipk404k,But why does he look like Henry Cavill tho?,169,0,1663904444.0,,False,neutral,neutral,neutral,neutral
ipk3084,giga chad haa?,50,0,1663903867.0,Apprehensive-Job9060,False,neutral,neutral,neutral,neutral
ipk5ae1,In my mind...DHA DHA TIRKIT DHAA...,95,0,1663905232.0,hsakaxxxx,False,neutral,neutral,neutral,neutral
ipk4cje,With the face of Superman,26,0,1663904651.0,four-eyed_sage,False,neutral,neutral,positive,neutral
ipk62jw,"I loved this ad 
https://www.youtube.com/watch?v=ajIYKuPfeiY",24,0,1663905733.0,house_monkey,False,positive,positive,positive,positive
ipk4xyb,looks very soviet union,39,0,1663905016.0,spacepunkx,False,neutral,neutral,negative,neutral
ipk8c6s,"And then came the Bhangaar cement, Sasta nahi Achaa!",14,0,1663907225.0,JettMe_Red,False,neutral,neutral,neutral,neutral
ipk2wpt,lmao,10,0,1663903812.0,,False,neutral,neutral,positive,neutral
ipk7m7e,"Classic Indian logos are next level, it is a reflection of the art and talent we had back then.",22,0,1663906744.0,darkxenobi,False,positive,positive,positive,positive
ipkezcy,"Trivia time: This logo was illustrated by Ravi Udyawar in 1994. I don’t recall if it was an original or an update to an existing one. Ravi went on to direct the movie MOM with Sridevi. 

Source: I was there.",10,0,1663912032.0,tellthetruthandrun,False,neutral,neutral,neutral,neutral
ipkb2s0,r/indianostalgia,8,0,1663909133.0,bronzegods,False,neutral,neutral,neutral,neutral
ipk6am6,This is what I expect Howard Roark would look like,8,0,1663905871.0,sith_play_quidditch,False,neutral,neutral,neutral,neutral
ipk7fit,That's adani owner of ambuja now and the building... Ummm you can call it parliament... Lol,13,0,1663906620.0,waynebruce__,False,neutral,neutral,neutral,neutral
ipk7c7i,sasta nhi sabse accha,5,0,1663906559.0,Necessary_File1199,False,neutral,neutral,neutral,neutral
ipk6z38,Virat compressive strength.,5,0,1663906318.0,A_random_zy,False,neutral,positive,positive,positive
ipkjt4o,And then came ultratech. Nana na na naana naana🎶,5,0,1663915986.0,,False,neutral,neutral,neutral,neutral
ipk60pd,strong house daddy 😍,5,0,1663905700.0,house_monkey,False,positive,positive,positive,positive
ipk8gjl,He’s terachad,5,0,1663907309.0,Relative-Dot-3768,False,neutral,neutral,neutral,neutral
ipk91by,"Theme was something like, ""daag dhaag be dhaag dhaag""",3,0,1663907705.0,MachesMalone007,False,neutral,neutral,neutral,neutral
